Source,Target,Weight
pay-per-click,(,1
(,ppc,1
ppc,),1
ppc,campaign,1
),advertis,1
advertis,highli,1
highli,effect,1
effect,way,1
way,busi,1
busi,drive,1
busi,creat,1
busi,track,1
drive,target,1
target,traffic,1
target,option,1
traffic,gener,1
gener,lead,1
lead,quickli,1
quickli,.,1
.,bid,1
.,platform,1
bid,keyword,1
keyword,relev,1
relev,busi,1
creat,compel,1
compel,ad,1
ad,copi,1
ad,facebook,1
ad,offer,1
copi,",",1
",",attract,1
",",whether,1
",",sign,1
",",request,1
",",busi,1
attract,potenti,1
potenti,custom,1
custom,websit,1
websit,encourag,1
encourag,take,1
take,action,1
action,",",1
whether,'s,1
's,make,1
make,purchas,1
purchas,",",1
sign,newslett,1
newslett,",",1
request,inform,1
inform,.,1
platform,like,1
like,googl,1
googl,ad,1
facebook,ad,1
offer,sophist,1
sophist,target,1
option,robust,1
robust,analyt,1
analyt,",",1
track,perform,1
perform,ppc,1
campaign,real-tim,1
real-tim,optim,1
optim,maximum,1
maximum,roi,1
roi,.,1
