Source,Target,Weight
creat,great,2
creat,compel,1
creat,email,4
creat,win,1
great,email,1
great,indic,1
great,way,3
great,newslett,1
great,plain,1
email,newslett,22
email,work,1
email,law,1
email,",",4
email,contact,1
email,”,1
email,open,1
email,campaign,1
email,sent,2
email,click,1
email,design,1
email,.,9
email,differ,1
email,client,4
email,?,1
email,height,1
email,long,1
email,goe,1
email,spam,2
email,templat,1
email,content,3
email,multipl,1
email,segment,1
email,—,1
email,bodi,1
email,’,1
email,us,1
email,access,1
email,provid,4
email,includ,1
email,look,2
email,even,1
email,compliant,1
email,deliveri,1
email,servic,1
email,code,1
email,popular,1
email,account,1
email,recipi,1
email,email,1
email,brand,1
email,perform,1
email,got,1
email,market,2
newslett,easier,1
newslett,.,6
newslett,’,3
newslett,tool,5
newslett,design,2
newslett,'s,1
newslett,send,1
newslett,guid,1
newslett,fit,1
newslett,meant,1
newslett,",",5
newslett,per,1
newslett,?,1
newslett,across,1
newslett,minim,1
newslett,templat,1
newslett,size,1
newslett,might,1
newslett,ensur,1
newslett,copi,1
newslett,exampl,1
newslett,feel,2
newslett,content,1
newslett,organ,1
newslett,perform,1
newslett,better,1
newslett,email,1
newslett,critic,1
newslett,strategi,1
easier,said,1
said,done,1
said,",",2
done,.,1
.,’,15
.,good,1
.,readi,1
.,step,13
.,choos,3
.,first,2
.,hubspot,5
.,tool,2
.,throughout,1
.,figur,1
.,learn,1
.,instead,1
.,market,3
.,",",10
.,also,3
.,sure,1
.,exampl,3
.,imag,1
.,cours,2
.,gener,2
.,take,1
.,contrast,1
.,person,2
.,said,2
.,way,3
.,end,1
.,featur,1
.,templat,1
.,even,1
.,rather,1
.,like,1
.,anoth,1
.,research,1
.,set,1
.,send,2
.,come,1
.,especi,2
.,given,1
.,unfortun,1
.,email,2
.,moreov,1
.,add,2
.,meat,1
.,ben,1
.,addit,2
.,fact,3
.,importantli,1
.,might,1
.,get,1
.,feel,1
.,senior,1
.,1,1
.,segment,1
.,enabl,1
.,digit,1
.,use,2
.,next,1
.,3,1
.,leverag,1
.,final,1
.,smart,1
.,neither,1
.,us,1
.,report,1
.,far,1
.,whatev,1
.,subject,1
.,breviti,1
.,sometim,1
.,articl,1
.,start,2
.,support,1
.,point,1
.,rememb,1
.,specif,1
.,alt,1
.,sinc,1
.,ensur,1
.,mean,2
.,make,1
.,alongsid,1
.,organ,1
.,unit,1
.,deni,1
.,kontorskyy,1
.,test,1
.,altern,1
.,moment,1
.,analyz,1
.,fast-forward,1
.,newslett,1
.,data,1
.,whether,1
’,throw,1
’,proofread,1
’,also,3
’,undo,1
’,.,1
’,sure,5
’,everyth,1
’,tailor,1
’,need,4
’,part,1
’,newslett,1
’,includ,2
’,email,3
’,select,1
’,time,4
’,jump,1
’,import,3
’,fulli,1
’,invest,1
’,essenti,2
