Source,Target,Weight
capsul,wardrob,9
wardrob,gain,1
wardrob,root,1
wardrob,consist,1
wardrob,stapl,1
wardrob,",",1
wardrob,choos,1
wardrob,abil,1
wardrob,promot,1
wardrob,also,1
wardrob,offer,1
wardrob,potenti,1
wardrob,stylish,1
gain,popular,1
popular,recent,1
recent,year,1
year,minimalist,1
year,come.in,1
minimalist,approach,1
approach,fashion,2
approach,get,1
fashion,",",2
fashion,wast,1
fashion,industri,1
",",offer,1
",",encourag,2
",",versatil,2
",",capsul,3
",",classic,1
",",pair,1
",",littl,1
",",well-fit,1
",",provid,1
",",high-qual,2
",",reflect,1
",",individu,5
",",reduc,2
",",allow,1
",",make,1
offer,curat,1
offer,practic,1
curat,collect,3
curat,select,1
collect,essenti,1
collect,go-to,2
essenti,cloth,1
cloth,item,2
item,mix,1
item,worn,1
item,neutral,1
mix,match,2
match,creat,2
creat,endless,1
creat,stylish,1
creat,rang,1
endless,outfit,1
outfit,combin,1
outfit,without,1
combin,.,1
.,concept,1
.,typic,1
.,foundat,1
.,involv,1
.,focus,1
.,curat,2
.,save,1
.,invest,2
.,capsul,1
concept,capsul,1
root,idea,1
idea,qualiti,1
qualiti,quantiti,3
quantiti,",",2
quantiti,invest,1
encourag,individu,2
encourag,mind,1
individu,invest,2
individu,quickli,1
individu,minim,1
individu,priorit,1
individu,simplifi,1
individu,build,1
individu,streamlin,1
invest,timeless,2
invest,piec,2
invest,versatil,1
timeless,",",1
timeless,piec,1
versatil,piec,1
versatil,blazer,1
versatil,",",2
piec,reflect,2
piec,serv,1
piec,versatil,1
piec,last,1
piec,",",1
piec,design,1
piec,truli,1
piec,dispos,1
reflect,person,3
person,style,3
style,withstand,2
style,variou,1
style,.,1
style,maxim,1
withstand,chang,2
withstand,test,1
chang,trends.at,1
chang,trend,1
trends.at,core,1
core,",",1
consist,care,1
care,curat,1
select,cloth,1
select,item,1
worn,interchang,1
interchang,style,1
variou,way,1
way,.,1
typic,includ,1
includ,wardrob,1
stapl,like,1
like,white,1
white,t-shirt,1
t-shirt,",",1
classic,button-down,1
classic,silhouett,1
button-down,shirt,1
shirt,",",1
pair,tailor,1
pair,jean,1
tailor,trouser,1
trouser,",",1
blazer,",",1
littl,black,1
black,dress,1
dress,",",1
dress,day.addit,1
dress,day,1
well-fit,pair,1
jean,.,1
foundat,piec,1
foundat,creat,1
serv,build,1
build,block,1
build,success,1
build,wardrob,1
block,capsul,1
provid,solid,1
solid,foundat,1
stylish,cohes,1
stylish,outfit,1
stylish,sustain,1
cohes,outfits.th,1
outfits.th,key,1
key,build,1
success,capsul,1
choos,piec,1
high-qual,",",1
high-qual,piec,1
involv,select,1
neutral,color,1
color,classic,1
silhouett,easili,1
easili,mix,1
easili,put,1
rang,differ,1
differ,look,1
look,.,1
focus,qualiti,1
last,longer,1
last,",",1
longer,withstand,1
test,time,1
time,",",1
time,energi,1
reduc,need,1
reduc,decis,2
reduc,fashion,1
need,frequent,1
frequent,shop,1
shop,minim,1
shop,habit,1
minim,waste.anoth,1
minim,environment,1
waste.anoth,benefit,1
benefit,capsul,1
abil,streamlin,1
streamlin,getting-readi,2
getting-readi,process,2
process,reduc,1
process,",",1
decis,fatigu,2
fatigu,.,1
fatigu,",",1
go-to,piec,2
quickli,easili,1
put,togeth,1
togeth,stylish,1
without,hassl,1
hassl,sort,1
sort,clutter,1
clutter,closet,1
closet,.,1
save,time,1
energi,also,1
also,help,1
also,promot,1
help,foster,1
foster,mind,1
mind,intent,1
mind,consumpt,1
intent,approach,1
get,dress,2
day.addit,",",1
promot,sustain,1
promot,consciou,1
sustain,encourag,1
sustain,fashion,1
sustain,approach,1
sustain,.,1
consumpt,reduc,1
wast,.,1
design,last,1
environment,impact,1
impact,contribut,1
contribut,sustain,1
industri,.,1
consciou,shop,1
habit,",",1
priorit,qualiti,1
truli,love,1
love,wear,1
wear,year,1
come.in,conclus,1
conclus,",",1
practic,sustain,1
allow,individu,1
simplifi,style,1
maxim,wardrob,1
potenti,.,1
trend,",",1
dispos,",",1
make,get,1
day,enjoy,1
enjoy,effortless,1
effortless,experi,1
experi,.,1
