Source,Target,Weight
tesla,inc.,1
tesla,also,2
tesla,chair,1
tesla,past,1
tesla,ceo,1
tesla,.,1
tesla,share,1
tesla,’,5
tesla,defend,1
tesla,express,1
tesla,cite,1
tesla,consid,1
tesla,all-in,1
tesla,said,1
inc.,ask,1
inc.,",",1
ask,sharehold,1
ask,investor,1
sharehold,vote,1
sharehold,approv,1
sharehold,su,1
sharehold,referendum,1
sharehold,support,1
sharehold,contact,1
sharehold,",",1
sharehold,meet,1
vote,$,1
vote,move,1
vote,possibl,1
vote,ought,1
vote,.,1
vote,tesla,1
$,56,1
$,735,1
$,"200,000",1
$,2.9,1
56,billion,1
billion,compens,1
billion,dollar,1
compens,packag,2
compens,critic,1
compens,expens,1
compens,fair,1
compens,plan,1
compens,",",1
packag,chief,1
packag,’,1
packag,would,1
packag,faster,1
packag,put,1
packag,.,1
chief,execut,1
chief,judg,1
execut,offic,1
execut,left,1
offic,elon,1
elon,musk,1
elon,paid,1
musk,void,1
musk,’,6
musk,",",3
musk,new,1
musk,said,1
musk,boost,1
musk,via,1
void,delawar,1
void,musk,1
delawar,court,2
delawar,.,3
delawar,chanceri,1
delawar,",",2
delawar,case,1
delawar,narrow,1
court,earli,1
court,’,1
court,second-guess,1
earli,year,3
year,.,1
year,help,1
year,prefer,1
year,expect,1
year,consist,1
year,ago,1
year,agre,1
year,earli,1
year,provid,1
.,read,1
.,carmak,2
.,tesla,3
.,chief,1
.,“,5
.,sharehold,1
.,musk,1
.,current,1
.,stock,1
.,earlier,1
.,special,1
.,written,1
.,otherwis,1
.,negoti,1
.,ratifi,1
.,new,1
.,said,1
.,came,1
.,post,1
.,settl,1
.,kimbal,1
.,murdoch,1
.,two,1
.,among,1
.,compani,1
read,bloomberg,1
read,:,1
bloomberg,proxi,1
bloomberg,.,1
proxi,file,1
proxi,amount,1
file,issu,1
file,said,1
file,.,1
file,move,1
file,show,1
file,",",1
issu,wednesday,1
wednesday,",",1
",",tesla,2
",",write,1
",",elon,1
",",”,4
",",run,1
",",said,1
",",accord,2
",",compani,1
",",two,1
",",whether,1
",",committe,1
",",effort,1
",",file,1
",",light,1
",",includ,1
",",one,1
",",call,1
",",’,1
",",alreadi,1
",",brain,1
",",reincorpor,1
",",x,1
",",musk,1
",",“,1
",",recommend,1
",",nevada,1
",",new,1
",",kimbal,1
",",jame,1
",",son,1
",",director,1
",",longest-serv,1
",",part,1
also,said,2
also,ask,1
also,spent,1
said,call,1
said,’,1
said,earli,1
said,vote,1
said,.,2
said,thousand,1
said,februari,1
said,",",1
said,paid,1
call,vote,1
call,anoth,1
call,rule,1
move,compani,1
move,tesla,2
move,texa,1
move,anoth,1
compani,’,2
compani,",",2
compani,announc,1
compani,.,1
compani,still,1
compani,said,1
compani,also,1
compani,own,1
’,state,1
’,januari,1
’,performance-bas,1
’,director,1
’,look,1
’,compens,3
’,board,1
’,pay,1
’,corpor,2
’,get,1
’,import,1
’,report,1
’,biggest,1
’,think,1
’,long-term,1
’,incorpor,1
’,headquart,1
’,brother,1
’,eight-person,1
’,social-media,1
state,incorpor,1
state,.,1
state,soon,1
state,altern,1
state,’,1
incorpor,texa,1
incorpor,delawar,2
incorpor,add,1
texa,delawar,2
texa,effort,1
texa,.,1
texa,",",1
texa,empir,1
carmak,conven,1
carmak,also,1
carmak,’,1
conven,annual,1
annual,meet,1
