Source,Target,Weight
cover,letter,82
cover,bit,1
letter,necessari,1
letter,would,1
letter,give,1
letter,",",14
letter,provid,1
letter,templat,10
letter,hold,1
letter,along,1
letter,job,1
letter,easili,1
letter,n't,2
letter,?,1
letter,life,1
letter,know,1
letter,chanc,2
letter,love,1
letter,design,1
letter,:,1
letter,exampl,4
letter,send,1
letter,today,1
letter,.,5
letter,toss,1
letter,—,3
letter,use,2
letter,resum,1
letter,typic,1
letter,get,14
letter,actual,1
letter,like,2
letter,dedic,1
letter,contain,1
letter,experi,1
letter,come,1
letter,bullet,1
letter,princeton,1
letter,everyth,1
letter,particularli,1
letter,direct,1
letter,entir,1
letter,differ,1
letter,start,1
letter,write,1
letter,easier,1
necessari,?,1
necessari,.,1
necessari,:,1
?,'m,1
?,cover,2
?,``,1
?,wrong,1
?,fine,1
?,'',2
?,4,1
?,busi,1
?,",",1
?,similar,1
?,project,1
?,prior,1
?,stay,1
?,someth,1
?,exampl,1
'm,hr,1
hr,",",1
",",'ve,2
",",get,1
",",ca,1
",",cover,4
",",provid,1
",",demonstr,2
",",show,5
",",guid,1
",",right,2
",",keep,1
",",may,5
",",find,1
",",also,1
",",nowaday,1
",",stop,1
",",'',7
",",``,5
",",includ,5
",",especi,1
",",alway,1
",",eventu,1
",",someth,1
",",consid,2
",",tri,1
",",posit,2
",",.,1
",",busi,2
",",want,3
",",skill,2
",",passion,2
",",inform,1
",",let,2
",",pet,1
",",sens,1
",",motiv,1
",",leav,1
",",format,1
",",along,2
",",'ll,5
",",pay,1
",",email,2
",",social,1
",",home,1
",",help,2
",",actual,1
",",exampl,1
",",ensur,1
",",best,1
",",today,1
",",n't,4
",",'s,9
",",take,2
",",make,5
",",first,2
",",second,1
",",candid,3
",",great,1
",",like,2
",",date,1
",",compani,1
",",though,1
",",definit,1
",",greet,1
",",courtesi,1
",",ms.,1
",",mrs.,1
",",depend,1
",",use,1
",",1-3,1
",",state,1
",",simpli,1
",",sell,1
",",mutual,1
",",tell,1
",",ball,1
",",thank,1
",",might,2
",",well,1
",",describ,1
",",creat,2
",",preced,1
",",add,1
",",data,1
",",rather,2
",",",",2
",",benefit,1
",",silverman,1
",",straight-to-the-point,2
",",howev,1
",",),2
",",treat,1
",",comprehens,1
",",half,1
",",nice,1
",",shown,2
",",focus,1
",",five,1
",",bullet,1
",",break,1
",",glassdoor,1
",",monster,1
",",inde,1
",",still,1
",",job,1
",",similar,1
",",follow-up,1
",",letter,1
",",excel,1
",",text,1
",",templat,2
",",person,1
",",anyway,1
",",written,1
",",specif,1
",",cut,1
",",effect,1
",",phrase,1
",",biggest,1
",",'re,1
",",one,1
",",instanc,1
",",client,1
",",b,1
",",believ,1
",",success,1
",",possibl,1
",",receiv,1
",",infus,1
",",ask,1
've,approach,1
've,never,2
've,sent,1
've,taken,1
've,done,1
've,either,1
approach,applic,1
applic,wonder,1
applic,requir,1
applic,.,4
applic,blank,1
applic,letter,2
applic,describ,1
applic,job,1
applic,thrown,1
applic,templat,1
applic,list,1
applic,want,1
applic,’,1
applic,text,1
applic,'s,1
applic,",",1
applic,look,1
wonder,whether,1
whether,cover,1
would,actual,1
would,troubl,1
would,good,1
would,benefit,1
would,asset,1
would,appli,1
would,reson,1
actual,read,1
actual,address,1
actual,necessari,1
read,.,2
read,cover,1
read,hire,1
read,give,1
read,",",1
.,``,15
.,'',23
.,time,1
.,part,1
.,allow,1
.,’,2
.,seem,1
.,say,1
.,plan,1
.,write,2
.,make,2
.,'s,3
.,1,3
.,year,2
.,",",4
.,'ll,2
.,2,3
.,greet,2
.,find,1
.,show,1
.,introduc,1
.,state,1
.,often,1
.,4,2
.,highlight,1
.,thing,2
.,attach,1
.,obvious,1
.,exampl,3
.,great,1
.,connect,1
.,final,1
.,leav,1
.,gener,2
.,end,1
.,notic,3
.,critiqu,1
.,includ,1
.,n't,7
.,matter,3
.,contact,2
.,said,1
.,avoid,1
.,use,3
.,person,2
.,3,1
.,hook,1
.,think,1
.,'re,6
.,explain,1
.,5,2
.,appli,2
.,cover,9
.,besid,1
.,addit,3
.,combin,1
.,download,3
.,number,1
.,header,1
.,put,1
.,still,1
.,recruit,2
.,mr.,1
.,introduct,1
.,get,1
.,keep,1
.,paragraph,1
.,previou,1
.,third,1
.,impress,1
.,6,1
