Source,Target,Weight
inflat,n't,1
inflat,hit,1
inflat,also,1
inflat,project,1
inflat,40-year,1
inflat,expect,5
inflat,slowdown,1
inflat,print,2
inflat,'s,2
inflat,realiti,1
inflat,return,1
inflat,back,1
inflat,2,1
n't,fall,1
n't,push,1
n't,level,1
fall,rapidli,1
rapidli,last,1
last,year,1
year,",",4
",",consum,1
",",latest,1
",",increas,2
",",clock,1
",",2.8,1
",",'',4
",",reflect,1
",",wholesal,1
",",exclud,1
",",0.3,1
",",powel,1
",",despit,1
",",'s,1
",",actual,1
consum,take,1
consum,expect,1
consum,director,1
consum,price,1
consum,inflat,1
take,notic,1
notic,.,1
.,friday,1
.,expect,1
.,one-year,1
.,``,3
.,move,1
.,hotter-than-expect,1
.,thursday,1
.,latest,1
.,charl,1
.,consum,1
.,speech,1
.,'',3
.,capit,1
friday,",",1
friday,'s,1
latest,univers,1
latest,produc,1
univers,michigan,2
univers,april,1
michigan,survey,2
survey,show,2
survey,consum,1
show,consum,1
show,inflat,1
show,core,1
expect,inflat,2
expect,2.9,1
expect,long-run,1
expect,april,1
expect,sit,1
expect,interest,1
expect,frequent,1
expect,consist,1
expect,level,1
expect,still,1
hit,3.1,1
3.1,%,1
%,next,1
%,seen,1
%,",",3
%,read,1
%,3,1
%,rang,1
%,month,1
%,increas,1
next,year,1
next,sever,1
increas,expect,1
increas,",",1
increas,told,1
increas,0.2,1
increas,februari,1
2.9,%,1
seen,march,1
seen,2018,1
march,.,1
march,",",1
long-run,inflat,1
also,increas,1
clock,3,1
3,%,2
3,",",1
2.8,%,1
read,prior,1
read,sent,1
prior,month,1
month,.,1
month,month,1
month,march,1
one-year,inflat,1
project,2.3,1
2.3,%,1
rang,seen,1
2018,2019,1
2019,fallout,1
fallout,pandem,1
pandem,2020,1
2020,sent,1
sent,inflat,1
sent,market,1
40-year,high,1
high,.,1
``,slight,1
``,volatil,1
``,public,1
``,price-sett,1
``,would,1
``,seriou,1
``,rais,1
slight,uptick,1
uptick,inflat,1
april,reflect,1
april,3,1
reflect,frustrat,1
reflect,recent,1
frustrat,inflat,1
slowdown,may,1
may,stall,1
may,slow,1
stall,",",1
'',survey,1
'',gordon,1
'',powel,1
'',ad,1
'',economist,1
'',fact,1
director,joann,1
joann,hsu,1
hsu,said,1
said,releas,1
said,.,2
releas,.,1
move,higher,1
move,",",1
higher,come,1
come,two,1
two,week,1
two,inflat,1
week,univers,1
sit,lowest,1
lowest,level,1
level,three,1
level,concern,1
level,trigger,1
three,year,1
recent,volatil,1
recent,:,1
volatil,inflat,2
volatil,food,1
print,.,1
print,one,1
hotter-than-expect,consum,1
price,read,1
price,increas,1
price,index,1
price,",",1
market,tizzi,1
tizzi,wednesday,1
wednesday,investor,1
investor,push,1
push,back,1
push,expect,1
back,expect,1
back,",",1
interest,rate,1
rate,cut,1
cut,amid,1
amid,fear,1
fear,inflat,1
's,declin,1
's,percept,1
's,path,1
's,import,1
's,report,1
declin,may,1
slow,.,1
thursday,",",1
wholesal,price,1
told,slightli,1
told,yahoo,1
slightli,differ,1
differ,stori,1
stori,.,1
produc,price,1
index,(,1
(,ppi,1
ppi,),1
),show,1
core,price,1
exclud,volatil,1
food,energi,1
energi,categori,1
categori,",",1
0.2,%,1
0.3,%,1
februari,.,1
charl,schwab,1
schwab,senior,1
senior,invest,1
invest,strategist,1
strategist,kevin,1
kevin,gordon,1
gordon,told,1
gordon,said,1
yahoo,financ,1
financ,prevail,1
prevail,takeaway,1
takeaway,two,1
one,feder,1
feder,reserv,2
reserv,talk,1
reserv,chair,1
talk,lot,1
lot,recent,1
:,``,2
realiti,next,1
sever,year,1
frequent,mention,1
mention,feder,1
chair,jerom,1
jerom,powel,1
powel,.,1
powel,spoke,1
powel,said,1
speech,stanford,1
stanford,univers,1
spoke,extens,1
extens,import,1
import,gener,1
import,factor,1
gener,public,1
public,'s,1
public,expect,1
percept,inflat,1
path,forward,1
forward,.,1
return,2,1
2,%,2
despit,move,1
factor,bring,1
bring,inflat,1
price-sett,wage-sett,1
wage-sett,economi,1
economi,believ,1
believ,inflat,1
actual,happen,1
happen,.,1
ad,:,1
would,concern,1
concern,inflat,1
concern,fed,1
concern,",",1
consist,outcom,1
outcom,seek,1
seek,.,1
economist,larg,1
economist,stephen,1
larg,reason,1
reason,friday,1
report,n't,1
fed,yet,1
yet,.,1
capit,econom,1
econom,deputi,1
deputi,chief,1
chief,north,1
north,american,1
american,economist,1
stephen,brown,1
brown,note,1
note,inflat,1
still,n't,1
trigger,``,1
seriou,concern,1
fact,rise,1
rise,could,1
could,``,1
rais,eyebrow,1
eyebrow,.,1
