Source,Target,Weight
’,work,1
’,uncomfort,1
’,tried-and-tru,1
’,afraid,1
’,defin,1
’,meet,2
’,behind,1
’,leverag,1
’,say,1
’,caus,1
’,help,1
work,deal,1
work,tech,1
deal,",",1
deal,stall,1
deal,.,2
deal,—,1
",",master,1
",",pressur,1
",",especi,1
",",mani,1
",",’,3
",",drag,1
",",lose,1
",",chang,1
",",allevi,1
",",foster,2
",",pave,1
",",effect,1
",",'ll,1
",",review,1
",",go,1
",",natur,2
",",idea,1
",",often,1
",",'s,1
",",make,2
",",undermin,1
",",lead,1
",",offer,1
",",check,1
",",shift,1
",",even,1
",",like,1
",",let,2
",",goal,1
",",take,1
",",includ,1
",",flow,1
",",valuabl,1
",",reinforc,1
",",allow,1
",",enhanc,1
",",schedul,1
",",ensur,1
",",key,1
",",reduc,1
",",ultim,1
",",close,1
master,art,1
art,close,1
close,essenti,1
close,approach,1
close,strategi,9
close,.,2
close,guid,1
close,",",1
close,might,1
close,deal,1
close,techniqu,2
close,meet,2
close,—whether,1
close,strong,1
close,n't,1
essenti,.,1
.,howev,1
.,unfortun,1
.,want,1
.,’,2
.,openli,2
.,",",2
.,download,1
.,uneasi,1
.,close,1
.,pressur,1
.,fear,1
.,might,2
.,awkward,1
.,step-by-step,1
.,inauthent,1
.,power,1
.,share,1
.,(,1
.,exampl,1
.,perspect,1
.,tip,1
.,'s,1
.,1,1
.,introduc,1
.,serv,1
.,tell,1
.,altern,1
.,initi,1
.,2,1
.,provid,1
.,highlight,1
.,let,1
.,practic,1
.,could,1
.,approach,1
.,3,1
.,schedul,1
.,possibl,1
.,set,1
.,sale,1
.,proactiv,1
.,4,1
.,embrac,1
.,address,1
.,mindset,1
.,pave,1
.,incorpor,1
.,rememb,1
.,topic,1
howev,",",1
pressur,associ,1
pressur,potenti,1
pressur,make,1
pressur,tendenc,1
pressur,",",1
associ,tradit,1
tradit,close,2
approach,daunt,1
approach,sale,1
approach,make,1
approach,maintain,1
approach,shift,1
daunt,",",1
especi,new,1
new,sale,1
sale,repres,1
sale,meet,1
