Source,Target,Weight
span,decad,1
decad,",",1
",",amazon,11
",",reshap,2
",",way,2
",",competit,1
",",conveni,1
",",fundament,1
",",includ,1
",",artifici,1
",",entertain,1
",",compani,1
",",emerg,1
",",provid,1
",",voice-activ,1
",",make,1
",",see,1
",",treatment,1
",",impact,1
",",lead,1
",",drive,1
",",disrupt,1
",",oper,1
",",long-term,1
",",shape,1
amazon,risen,1
amazon,transform,1
amazon,testament,1
amazon,becom,1
amazon,also,1
amazon,web,1
amazon,'s,6
amazon,continu,1
amazon,pois,1
risen,humbl,1
humbl,onlin,1
onlin,bookstor,1
bookstor,global,1
global,e-commerc,1
global,economi,1
e-commerc,behemoth,1
e-commerc,domin,1
behemoth,",",1
reshap,busi,1
reshap,global,1
busi,financ,2
busi,oper,1
busi,size,1
busi,commun,1
busi,model,1
financ,landscap,1
financ,year,1
landscap,way,1
way,could,1
way,consum,1
way,busi,1
way,investor,1
way,commerc,1
could,imagin,1
imagin,.,1
.,found,1
.,core,1
.,began,1
.,vast,1
.,addit,2
.,amazon,2
.,meanwhil,1
.,financi,1
.,compani,2
.,howev,1
.,critic,1
.,despit,1
.,relentless,1
found,jeff,1
jeff,bezo,1
bezo,1994,1
1994,",",1
transform,way,1
consum,shop,1
consum,.,1
consum,behavior,1
shop,",",1
shop,experi,1
oper,",",1
oper,excel,1
investor,perceiv,1
investor,",",1
perceiv,potenti,1
potenti,technology-driven,1
technology-driven,compani,1
compani,.,1
compani,'s,2
compani,world,1
compani,bellweth,1
compani,face,1
compani,societi,1
core,",",1
testament,power,1
power,innov,1
innov,disrupt,1
innov,product,1
innov,earn,1
innov,",",2
disrupt,digit,1
disrupt,tradit,1
digit,age,2
age,.,2
began,platform,1
platform,sell,1
platform,solut,1
sell,book,1
book,evolv,1
evolv,sprawl,1
sprawl,marketplac,1
marketplac,offer,1
offer,everyth,1
everyth,electron,1
electron,apparel,1
apparel,groceri,1
groceri,stream,1
stream,servic,1
servic,.,1
servic,(,1
servic,market,1
servic,",",1
vast,product,1
product,select,1
product,servic,1
select,",",1
competit,price,1
competit,innov,1
price,",",1
price,soar,1
conveni,deliveri,1
deliveri,option,1
option,",",1
becom,go-to,1
go-to,destin,1
destin,million,1
million,shopper,1
shopper,around,1
around,world,1
world,",",1
world,.,1
fundament,chang,1
chang,way,1
commerc,conduct,1
commerc,.,1
commerc,technolog,1
conduct,.,1
addit,e-commerc,1
addit,",",1
domin,",",1
domin,stifl,1
domin,forc,1
also,made,1
made,signific,1
signific,inroad,1
inroad,variou,1
variou,industri,1
industri,",",1
includ,cloud,1
cloud,comput,2
cloud,servic,1
comput,",",1
comput,divis,1
artifici,intellig,1
intellig,",",1
entertain,.,1
web,servic,1
(,aw,1
aw,),1
),",",1
's,cloud,1
's,invest,1
's,meteor,1
's,stock,1
's,relentless,1
's,success,1
's,domin,1
's,grow,1
divis,",",1
emerg,leader,1
leader,cloud,1
market,",",1
provid,infrastructur,1
infrastructur,platform,1
solut,busi,1
size,.,1
meanwhil,",",1
invest,ai,1
ai,machin,1
machin,learn,1
learn,enabl,1
enabl,develop,1
develop,innov,1
voice-activ,assist,1
assist,like,1
like,alexa,1
alexa,advanc,1
advanc,recommend,1
recommend,algorithm,1
algorithm,person,1
person,shop,1
experi,consum,1
financi,perspect,1
perspect,",",1
meteor,rise,1
rise,noth,1
noth,short,1
short,extraordinari,1
extraordinari,.,1
stock,price,1
soar,year,1
year,",",1
year,come,1
make,one,1
one,valuabl,1
valuabl,influenti,1
influenti,compani,1
relentless,focu,2
focu,long-term,1
focu,custom,1
long-term,growth,1
long-term,think,1
growth,innov,1
earn,trust,1
trust,confid,1
confid,investor,1
see,compani,1
bellweth,futur,1
futur,technolog,1
futur,commerc,1
technolog,commerc,1
technolog,digit,1
howev,",",1
success,come,1
come,without,1
come,",",1
without,controversi,1
controversi,.,1
face,scrutini,1
scrutini,labor,1
labor,practic,1
practic,",",1
treatment,third-parti,1
third-parti,seller,1
seller,",",1
impact,local,1
local,busi,1
commun,.,1
critic,argu,1
argu,amazon,1
stifl,competit,1
lead,concern,1
concern,antitrust,1
concern,spark,1
antitrust,violat,1
violat,monopolist,1
monopolist,behavior,1
behavior,.,1
behavior,rais,1
grow,influenc,1
influenc,data,1
data,consum,1
rais,privaci,1
privaci,concern,1
spark,debat,1
debat,role,1
role,big,1
big,tech,1
tech,compani,1
societi,.,1
despit,challeng,1
challeng,",",1
continu,push,1
push,boundari,1
boundari,possibl,1
possibl,",",1
drive,innov,1
tradit,busi,1
model,",",1
economi,process,1
process,.,1
custom,obsess,1
obsess,",",1
excel,",",1
think,",",1
pois,remain,1
remain,domin,1
forc,busi,1
shape,futur,1
