Source,Target,Weight
citigroup,inc.,1
citigroup,.,1
citigroup,also,1
citigroup,goldman,1
citigroup,",",1
inc.,goldman,1
inc.,among,1
inc.,",",1
goldman,sach,4
goldman,’,1
sach,group,1
sach,advis,1
sach,plan,1
sach,’,1
group,inc.,1
group,usa,1
group,deal,1
group,devot,1
group,within,1
among,wall,1
wall,street,4
street,giant,1
street,’,1
street,lender,1
street,.,1
giant,serv,1
serv,matchmak,1
matchmak,recent,1
recent,transact,1
recent,survey,1
recent,deal,1
transact,smaller,1
transact,’,1
smaller,compani,2
compani,look,1
compani,",",2
compani,bought,1
look,loan,1
look,partner,1
look,rais,1
loan,privat,2
loan,",",2
loan,arrang,1
loan,money,1
loan,book,1
loan,collect,1
privat,lender,2
privat,loan,1
privat,credit,6
privat,equiti,1
privat,held,1
privat,place,1
privat,market,1
lender,eager,1
lender,boil,1
lender,take,1
lender,smaller,1
lender,clamor,1
lender,.,2
lender,will,1
lender,earn,1
lender,extra,1
lender,occasion,1
eager,provid,1
provid,financ,1
financ,.,1
financ,",",1
financ,relat,1
financ,relationship,1
financ,banker,1
financ,group,1
.,pitch,1
.,’,3
.,histor,1
.,leverag,1
.,privat,3
.,addit,2
.,“,3
.,direct,1
.,bank,4
.,ares-back,1
.,goldman,2
.,citigroup,2
.,time,1
.,advisori,1
.,even,1
.,marc,1
.,firm,1
.,despit,1
.,neither,1
pitch,direct,1
direct,lender,7
direct,knowledg,2
boil,:,1
:,use,1
use,vast,1
vast,network,1
network,corpor,1
corpor,client,1
client,help,1
client,also,1
help,find,2
find,issuer,1
find,opportun,1
find,lender,1
issuer,want,1
issuer,direct,1
want,financ,1
",",take,1
",",fee,2
",",forc,1
",",firm,1
",",jpmorgan,1
",",broadli,1
",",”,4
",",head,2
",",accord,6
",",famili,1
",",less,2
",",one,1
",",privat,1
",",advis,1
",",keep,1
",",manag,1
",",said,1
",",“,1
",",advisori,1
",",leverag,1
",",co-head,1
",",’,1
take,paperwork,1
take,busi,1
take,more-expens,1
paperwork,involv,1
involv,get,1
involv,.,1
get,privat,1
get,involv,1
get,foothold,1
fee,.,3
fee,partner,1
fee,issuer,1
fee,bank,1
fee,come,1
fee,outsourc,1
’,latest,1
’,invest,1
’,make,1
’,bank,1
’,identifi,1
’,last,1
’,left,1
’,sometim,1
’,banker,1
’,investment-bank,1
’,need,1
latest,step,1
step,big,1
big,bank,2
bank,taken,1
bank,syndic,1
bank,fee,1
bank,consid,1
bank,may,1
bank,creat,1
bank,one-stop,1
bank,abl,1
bank,face,1
bank,make,1
bank,brought,1
bank,",",1
bank,—,1
bank,lend,1
taken,reclaim,1
reclaim,busi,1
busi,leverag,1
busi,gener,1
busi,",",2
leverag,lend,1
leverag,loan,1
leverag,financ,3
leverag,banker,1
lend,desk,1
lend,compani,1
lend,way,1
lend,group,1
desk,lost,1
lost,.,1
histor,biggest,1
biggest,buyout,1
buyout,would,1
buyout,slow,1
buyout,.,1
would,fund,1
fund,junk,1
fund,sit,1
fund,long,1
junk,bond,1
bond,well,1
well,leverag,1
well,fargo,1
well,known,1
arrang,big,1
arrang,repric,1
syndic,wide,1
syndic,market,1
wide,array,1
array,investor,1
investor,.,1
relat,busi,1
gener,third,1
third,wall,1
invest,bank,1
forc,bank,1
consid,way,1
way,get,1
way,cut,1
addit,advis,1
addit,set,1
advis,direct,1
advis,blackston,1
advis,borrow,1
advis,small,1
firm,includ,1
firm,get,1
firm,find,1
firm,look,1
firm,brought,1
includ,well,1
fargo,&,1
&,co.,2
co.,barclay,1
co.,also,1
co.,",",1
barclay,plc,1
barclay,.,1
barclay,help,1
plc,establish,1
establish,formal,1
formal,partnership,1
partnership,privat,1
credit,firm,1
credit,deal,1
credit,fund,2
credit,are,1
credit,market,1
credit,hayfin,1
foothold,market,1
market,.,3
market,’,1
market,citigroup,1
market,part,1
set,asid,1
asid,chunk,1
chunk,balanc,1
balanc,sheet,1
sheet,origin,1
origin,privat,1
origin,machin,1
origin,bank,1
origin,",",1
deal,",",4
deal,drought,1
deal,.,1
deal,origin,2
jpmorgan,chase,1
chase,&,1
also,look,1
also,capit,1
also,allow,1
also,offer,1
partner,.,1
partner,direct,1
“,bring,1
“,’,1
“,differ,1
“,tent,1
bring,enorm,1
enorm,deep,1
deep,origin,1
machin,",",1
broadli,syndic,1
make,sens,1
make,loan,1
