Source,Target,Weight
search,engin,4
engin,optim,1
engin,like,1
engin,result,1
engin,.,1
optim,(,1
optim,websit,1
optim,link,1
(,seo,1
(,serp,1
seo,),1
seo,",",1
),critic,1
),attract,1
critic,compon,1
compon,digit,1
digit,market,1
market,strategi,1
strategi,",",1
strategi,busi,1
",",allow,1
",",structur,1
",",technic,1
",",increas,1
",",sever,1
allow,busi,1
busi,improv,1
busi,employ,1
improv,websit,1
websit,'s,3
's,visibl,2
's,content,1
visibl,organ,1
visibl,drive,1
organ,traffic,1
traffic,search,2
like,googl,1
googl,.,1
.,optim,1
.,keyword,1
content,",",1
structur,",",1
technic,aspect,1
technic,seo,1
aspect,",",1
increas,chanc,1
chanc,rank,1
rank,higher,1
higher,search,1
result,page,1
page,(,1
serp,),1
attract,qualifi,1
qualifi,lead,1
lead,site,1
site,.,1
keyword,research,1
research,on-pag,1
on-pag,optim,1
link,build,1
build,technic,1
sever,key,1
key,strategi,1
employ,maxim,1
maxim,websit,1
drive,traffic,1
